vol,author,birth_year,sex,ethnicity,party,negeri,area,kod_kawasan,exec_posts,service_posts,author_id,start_date,end_date
15,VIVIAN WONG SHIR YEE,1989.0,female,chinese,PH,Sabah,Sandakan,P186,,,5131,2022-11-19,
13,WAHAB BIN HAJI DOLAH,1951.0,male,bumiputera,BN - PBB,Sarawak,Igan,P207,,,3613,2013-05-05,2018-04-07
12,WAN ABD. RAHIM BIN WAN ABDULLAH,1952.0,male,bumiputera,PAS,Kelantan,Kota Bharu,P021,,,3315,2008-03-08,2013-04-03
15,WAN AHMAD FAYHSAL BIN WAN AHMAD KAMAL,1987.0,male,bumiputera,PN,Kelantan,Machang,P029,,,4529,2022-11-19,
15,WAN AZIZAH BINTI DR. WAN ISMAIL,1952.0,female,bumiputera,PH,Kuala Lumpur,Bandar Tun Razak,P124,,,4901,2022-11-19,
13,WAN AZIZAH BINTI WAN ISMAIL,1952.0,female,bumiputera,PKR,Pulau Pinang,Permatang Pauh,P044,,,4901,2013-05-05,2018-04-07
14,WAN AZIZAH WAN ISMAIL,1952.0,female,bumiputera,PH - PKR,Selangor,PANDAN,P100,,,4901,2018-05-09,2022-10-10
13,WAN HASSAN BIN MOHD RAMLI,1958.0,male,bumiputera,PAS,Terengganu,Dungun,P039,,,3686,2013-05-05,2018-04-07
14,WAN HASSAN BIN MOHD RAMLI,1958.0,male,bumiputera,PAS,Terengganu,DUNGUN,P039,,,3686,2018-05-09,2022-10-10
15,WAN HASSAN BIN MOHD RAMLI,1957.0,male,bumiputera,PN,Terengganu,Dungun,P039,,,3686,2022-11-19,
12,WAN JUNAIDI BIN TUANKU JAAFAR,1946.0,male,bumiputera,BN - PBB,Sarawak,Santubong,P193,,Timbalan Yang di-Pertua Dewan Rakyat,2242,2008-03-08,2013-04-03
13,WAN JUNAIDI BIN TUANKU JAAFAR,1946.0,male,bumiputera,BN - PBB,Sarawak,Santubong,P193,Menteri Sumber Asli dan Alam Sekitar,,2242,2013-05-05,2018-04-07
14,WAN JUNAIDI BIN TUANKU JAAFAR,1946.0,male,bumiputera,GPS - PBB,Sarawak,SANTUBONG,P193,Menteri di Jabatan Perdana Menteri (Parlimen dan Undang-Undang),,2242,2018-05-09,2022-10-10
13,WAN MOHAMMAD KHAIR-IL ANUAR WAN AHMAD,1960.0,male,bumiputera,BN - UMNO,Perak,Kuala Kangsar,P067,,,3736,2013-05-05,2018-04-07
15,WAN RAZALI BIN WAN NOR,1981.0,male,bumiputera,PN,Pahang,Kuantan,P083,,,4725,2022-11-19,
15,WAN SAIFULRUDDIN BIN WAN JAN,1975.0,male,bumiputera,PN,Pulau Pinang,Tasek Gelugor,P042,,,4579,2022-11-19,
12,WEE CHOO KEONG,1953.0,male,chinese,PKR > BEBAS,WP Kuala Lumpur,Wangsa Maju,P116,,,1804,2008-03-08,2013-04-03
12,WEE JECK SENG,1964.0,male,chinese,BN - MCA,Johor,Tanjong Piai,P165,,,3529,2008-03-08,2013-04-03
13,WEE JECK SENG,1964.0,male,chinese,BN - MCA,Johor,Tanjong Piai,P165,,,3529,2013-05-05,2018-04-07
14,WEE JECK SENG,1964.0,male,chinese,BN - MCA,Johor,TANJUNG PIAI,P165,Timbalan Menteri Perusahaan Perladangan dan Komoditi II,,3529,2018-05-09,2022-10-10
15,WEE JECK SENG,1964.0,male,chinese,BN,Johor,Tanjung Piai,P165,,,3529,2022-11-19,
12,WEE KA SIONG,1968.0,male,chinese,BN - MCA,Johor,Ayer Hitam,P148,Timbalan Menteri Pelajaran,,3502,2008-03-08,2013-04-03
13,WEE KA SIONG,1968.0,male,chinese,BN - MCA,Johor,Ayer Hitam,P148,Menteri Di Jabatan Perdana Menteri,,3502,2013-05-05,2018-04-07
14,WEE KA SIONG,1968.0,male,chinese,BN - MCA,Johor,AYER HITAM,P148,Menteri Pengangkutan,,3502,2018-05-09,2022-10-10
15,WEE KA SIONG,1968.0,male,chinese,BN,Johor,Ayer Hitam,P148,,,3502,2022-11-19,
15,WETROM BIN BAHANDA,1970.0,male,bumiputera,KDM,Sabah,Kota Marudu,P168,,,5052,2022-11-19,
12,WILFRED MOJILIP BUMBURING,1952.0,male,bumiputera,BEBAS,Sabah,Tuaran,P170,,,3541,2008-03-08,2013-04-03
13,WILLIAM @ NYALLAU ANAK BADAK,1951.0,male,bumiputera,BN - PRS,Sarawak,Lubok Antu,P203,,,3609,2013-05-05,2018-04-07
12,WILLIAM @ NYALLAU BADAK,1951.0,male,bumiputera,BN - PRS,Sarawak,Lubok Antu,P203,,,3609,2008-03-08,2013-04-03
12,WILLIAM LEONG JEE KEEN,1957.0,male,chinese,PKR,Selangor,Selayang,P097,,,3427,2008-03-08,2013-04-03
13,WILLIAM LEONG JEE KEEN,1957.0,male,chinese,PKR,Selangor,Selayang,P097,,,3427,2013-05-05,2018-04-07
14,WILLIAM LEONG JEE KEEN,1957.0,male,chinese,PH - PKR,Selangor,SELAYANG,P097,,,3427,2018-05-09,2022-10-10
15,WILLIAM LEONG JEE KEEN,1957.0,male,chinese,PH,Selangor,Selayang,P097,,,3427,2022-11-19,
13,WILLIAM MAWAN IKOM,1950.0,male,bumiputera,BN,Sarawak,Saratok,P205,,,2254,2013-05-05,2018-04-07
14,WILLIE ANAK MONGIN,1976.0,male,bumiputera,PH - PKR > BERSATU,Sarawak,PUNCAK BORNEO,P198,Timbalan Menteri Perusahaan Perladangan dan Komoditi I,,3949,2018-05-09,2022-10-10
15,WILLIE ANAK MONGIN,1975.0,male,bumiputera,GPS,Sarawak,Puncak Borneo,P198,,,3949,2022-11-19,
13,WILSON UGAK ANAK KUMBONG,1962.0,male,bumiputera,BN - PRS,Sarawak,Hulu Rajang,P216,,,3974,2013-05-05,2018-04-07
14,WILSON UGAK ANAK KUMBONG,1962.0,male,bumiputera,GPS - PRS,Sarawak,HULU RAJANG,P216,,,3974,2018-05-09,2022-10-10
13,WONG CHEN,1969.0,male,chinese,PKR,Selangor,Kelana Jaya,P104,,,3786,2013-05-05,2018-04-07
14,WONG CHEN,1969.0,male,chinese,PH - PKR,Selangor,SUBANG,P104,,,3786,2018-05-09,2022-10-10
15,WONG CHEN,1969.0,male,chinese,PH,Selangor,Subang,P104,,,3786,2022-11-19,
12,WONG HO LENG,1960.0,male,chinese,DAP,Sarawak,Sibu,P212,,,1965,2008-03-08,2013-04-03
14,WONG HON WAI,1973.0,male,chinese,PH - DAP,Pulau Pinang,BUKIT BENDERA,P048,,,4072,2018-05-09,2022-10-10
14,WONG KAH WOH,1980.0,male,chinese,PH - DAP,Perak,IPOH TIMUR,P064,,,4105,2018-05-09,2022-10-10
15,WONG KAH WOH,1980.0,male,chinese,PH,Perak,Taiping,P060,Timbalan Menteri Pendidikan,,4105,2022-11-19,
13,WONG LING BIU,1959.0,male,chinese,DAP,Sarawak,Sarikei,P208,,,3962,2013-05-05,2018-04-07
14,WONG LING BIU,1959.0,male,chinese,PH - DAP,Sarawak,SARIKEI,P208,,,3962,2018-05-09,2022-10-10
14,WONG SHU QI,1983.0,female,bumiputera,PH - DAP,Johor,KLUANG,P152,,,4278,2018-05-09,2022-10-10
15,WONG SHU QI,1983.0,female,bumiputera,PH,Johor,Kluang,P152,,,4278,2022-11-19,
13,WONG SZE PHIN @ JIMMY,1950.0,male,chinese,DAP,Sabah,Kota Kinabalu,P172,,,3894,2013-05-05,2018-04-07
14,WONG TACK,1959.0,male,chinese,PH - DAP,Pahang,BENTONG,P089,,,3763,2018-05-09,2022-10-10
13,WONG TIEN FATT @ WONG NYUK FOH,1955.0,male,chinese,DAP,Sabah,Sandakan,P186,,,3924,2013-05-05,2018-04-07
14,WONG TIEN FATT @ WONG NYUK FOH,1955.0,male,chinese,PH - DAP,Sabah,SANDAKAN,P186,,,3924,2018-05-09,2022-10-10
14,XAVIER JAYAKUMAR A/L ARULANANDAM,1953.0,male,indian,PH - PKR > BEBAS,Selangor,KUALA LANGAT,P112,,,4200,2018-05-09,2022-10-10
14,YAMANI HAFEZ BIN MUSA,1978.0,male,bumiputera,BN - UMNO > BERSATU,Sabah,SIPITANG,P178,Timbalan Menteri Kewangan II,,4325,2018-05-09,2022-10-10
14,YEO BEE YIN,1983.0,female,chinese,PH - DAP,Johor,BAKRI,P145,,,4263,2018-05-09,2022-10-10
15,YEO BEE YIN,1983.0,female,chinese,PH,Selangor,Puchong,P103,,,4263,2022-11-19,
12,YONG KHOON HIAN @ YONG KHOON SENG,1942.0,male,chinese,BN - SUPP,Sarawak,Stampin,P196,Timbalan Menteri Kerja Raya,,2232,2008-03-08,2013-04-03
15,YOUNG SYEFURA BINTI OTHMAN,1989.0,female,bumiputera,PH,Pahang,Bentong,P089,,,4749,2022-11-19,
15,YUNESWARAN A/L RAMARAJ,1986.0,male,indian,PH,Johor,Segamat,P140,,,4962,2022-11-19,
12,YUSSOF BIN HAJI MAHAL,1958.0,male,bumiputera,BN - UMNO,WP Labuan,Labuan,P166,,,3530,2008-03-08,2013-04-03
14,YUSUF BIN ABD WAHAB,1964.0,male,bumiputera,GPS - PBB,Sarawak,TANJONG MANIS,P206,,,4385,2018-05-09,2022-10-10
15,YUSUF BIN ABD WAHAB,1964.0,male,bumiputera,GPS,Sarawak,Tanjong Manis,P206,,,4385,2022-11-19,
15,ZAHARI BIN KECHIK,1960.0,male,bumiputera,BEBAS,Kelantan,Jeli,P030,,,4532,2022-11-19,
13,ZAHIDI BIN ZAINUL ABIDIN,1961.0,male,bumiputera,BN - UMNO,Perlis,Padang Besar,P001,,,3630,2013-05-05,2018-04-07
14,ZAHIDI BIN ZAINUL ABIDIN,1961.0,male,bumiputera,BN - UMNO,Perlis,PADANG BESAR,P001,Timbalan Menteri Komunikasi dan Multimedia,,3630,2018-05-09,2022-10-10
15,ZAHIR BIN HASSAN,1959.0,male,bumiputera,PH,Kuala Lumpur,Wangsa Maju,P116,,,4876,2022-11-19,
12,ZAHRAIN MOHAMED HASHIM,1956.0,male,bumiputera,PKR > BEBAS,Pulau Pinang,Bayan Baru,P052,,,3364,2008-03-08,2013-04-03
13,ZAINUDIN BIN ISMAIL,1960.0,male,bumiputera,BN - UMNO,Negeri Sembilan,Jelebu,P126,,,3827,2013-05-05,2018-04-07
13,ZAIRIL KHIR JOHARI,1983.0,male,bumiputera,DAP,Pulau Pinang,Bukit Bendera,P048,,,3706,2013-05-05,2018-04-07
14,ZAKARIA BIN MOHD. EDRIS,1951.0,male,bumiputera,BN - UMNO > BERSATU,Sabah,LIBARAN,P184,,,4347,2018-05-09,2022-10-10
15,ZAKRI BIN HASSAN,1965.0,male,bumiputera,PN,Perlis,Kangar,P002,,,4413,2022-11-19,
15,ZALIHA BINTI MUSTAFA,1964.0,female,bumiputera,PH,Johor,Sekijang,P141,Menteri di Jabatan Perdana Menteri (Wilayah Persekutuan),,4967,2022-11-19,
12,ZULHASNAN BIN RAFIQUE,1955.0,male,bumiputera,BN - UMNO,WP Kuala Lumpur,Setiawangsa,P118,,,3457,2008-03-08,2013-04-03
15,ZULKAFPERI BIN HANAPI,1959.0,male,bumiputera,BEBAS,Selangor,Tanjong Karang,P095,,,4773,2022-11-19,
15,ZULKIFLI BIN ISMAIL,1966.0,male,bumiputera,PN,Melaka,Jasin,P139,,,4959,2022-11-19,
12,ZULKIFLI BIN NOORDIN,1962.0,male,bumiputera,PKR > BEBAS,Kedah,Kulim-Bandar Baharu,P018,,,3309,2008-03-08,2013-04-03
14,ZULPURI SHAH BIN RAJA PUJI,1965.0,male,bumiputera,PH - DAP,Pahang,RAUB,P080,,,4133,2018-05-09,2022-10-10
12,ZURAIDA BINTI KAMARUDDIN,1958.0,female,bumiputera,PKR,Selangor,Ampang,P099,,,3431,2008-03-08,2013-04-03
13,ZURAIDA BINTI KAMARUDDIN,1958.0,female,bumiputera,PKR,Selangor,Ampang,P099,,,3431,2013-05-05,2018-04-07
14,ZURAIDA BINTI KAMARUDDIN,1958.0,female,bumiputera,PH - PKR > BERSATU,Selangor,AMPANG,P099,Menteri Perusahaan Perladangan dan Komoditi,,3431,2018-05-09,2022-10-10
13,ABDUL GHANI BIN MOHAMED YASSIN,,male,bumiputera,BN - UMNO,Sabah,,,,,20614,2018-01-05,2021-01-04
13,ABDUL HALIM BIN ABD. SAMAD,,male,bumiputera,BN - UMNO,TIADA,,,,Timbalan Yang di-Pertua Dewan Negara,20617,2014-11-03,2017-11-02
15,ABDUL HALIM BIN HAJI SULEIMAN,,male,bumiputera,UMNO,Johor,,,,Ahli Dewan Negara,20618,2023-11-23,2026-11-22
15,ABDUL NASIR BIN HAJI IDRIS,,male,bumiputera,PAS,Kedah,,,,Ahli Dewan Negara,20622,2023-03-20,2026-03-19
12,ABDUL RAHMAN BIN BAKAR,,male,bumiputera,BN - UMNO,TIADA,,,,,20625,2011-07-18,2014-07-17
13,ABDUL RAHMAN BIN MAT YASIN,,male,bumiputera,BN - UMNO,Terengganu,,,,,20623,2015-06-22,2018-06-21
12,ABDUL SHUKOR BIN P A MOHD SULTAN,,male,bumiputera,BN - UMNO,Perlis,,,,,20627,2012-04-25,2015-04-24
13,ABIDULLAH BIN SALLEH,,male,bumiputera,BN - UMNO,Melaka,,,,Ahli Dewan Negara,20632,2016-10-27,2019-10-26
12,ABU ZAHAR UJANG,,male,bumiputera,BN - UMNO,TIADA,,,,Yang Dipertua Dewan Negara,20636,2013-04-26,2016-04-25
12,ABU ZAHAR UJANG,,male,bumiputera,TIADA,TIADA,,,,,20636,2013-04-26,2016-04-25
15,ABUN SUI ANYIT,,male,bumiputera,PKR,TIADA,,,,Ahli Dewan Negara,20637,2023-03-20,2026-03-19
12,AHAMAT @ AHAMAD BIN YUSOP,,male,bumiputera,BN - UMNO,Johor,,,,,20642,2011-07-04,2014-07-03
14,AHMAD AZAM BIN HAMZAH,,male,bumiputera,PKR,Negeri Sembilan,,,,Ahli Dewan Negara,20643,2019-05-09,
15,AHMAD AZAM BIN HAMZAH,,male,bumiputera,PKR,Negeri Sembilan,,,,Ahli Dewan Negara,20643,2019-05-09,
14,AHMAD BIN DATO' SRI HJ IBRAHIM,,male,bumiputera,PBB,Sarawak,,,,Ahli Dewan Negara,20657,2022-07-22,2025-07-21
15,AHMAD BIN DATO' SRI HJ IBRAHIM,,male,bumiputera,PBB,Sarawak,,,,Ahli Dewan Negara,20657,2022-07-22,2025-07-21
14,AHMAD MASRIZAL MUHAMMAD,,male,bumiputera,UMNO,TIADA,,,Timbalan Menteri Pengajian Tinggi,,20651,2020-03-09,
14,AJIS BIN SITIN,,male,bumiputera,UMNO,Pahang,,,,Ahli Dewan Negara,20662,2021-08-25,2024-08-24
14,AK NAN A/L EH TOOK,,male,indian,BERSATU,TIADA,,,,Ahli Dewan Negara,20663,2016-12-15,2019-12-14
13,AKNAN A/L EHTOOK,,male,indian,Wakil Masyarakat Siam,TIADA,,,,Ahli Dewan Negara,20664,2016-12-15,2019-12-14
15,AMIR BIN MD GHAZALI,,male,bumiputera,PKR,Pulau Pinang,,,,Ahli Dewan Negara,20671,2023-03-07,2026-03-06
15,AMIR HAMZAH AZIZAN,,male,bumiputera,PROFESIONAL,TIADA,,,Menteri Kewangan Dua (2),Ahli Dewan Negara,20670,2023-12-12,2026-12-11
13,ANANTHAN A/L SOMASUNDARAM,,male,indian,BN - MIC,Kedah,,,,,20674,2017-08-15,2020-08-14
15,ANIFAH BIN AMAN @ HANIFF AMMAN,,male,bumiputera,PCS,TIADA,,,,Ahli Dewan Negara,20676,2023-03-20,2026-03-19
15,ANNA BELL @ SUZIEANA BINTI PERIAN,,female,bumiputera,GRS,TIADA,,,,Ahli Dwan Negara,20678,2024-03-05,2027-03-04
12,ARIFFIN BIN S.M. OMAR,,male,bumiputera,DAP,Pulau Pinang,,,,,20683,2012-06-01,2015-05-31
13,ARIFFIN BIN S.M. OMAR,,male,bumiputera,DAP,Pulau Pinang,,,,,20683,2012-06-01,2015-05-31
14,ARMAN AZHA BIN ABU HANIFAH,,male,bumiputera,BN - UMNO,TIADA,,,,Ahli Dewan Negara,20684,2021-10-26,2024-10-25
15,AWANG BEMEE BIN AWANG ALI BASAH,,male,bumiputera,PBB,TIADA,,,,Yang di-Pertua Dewan Negara,20686,2024-07-15,2027-07-14
15,AWANG BIN SARIYAN,,male,bumiputera,PROFESIONAL,TIADA,,,,Ahli Dewan Negara,20687,2023-03-20,2026-03-19
15,AZAHAR BIN HASSAN,,male,bumiputera,BERSATU,Perlis,,,,Ahli Dewan Negara,4643,2024-09-10,2027-09-09
15,AZAHARI BIN HASAN,1974.0,male,bumiputera,PN,Perak,Padang Rengas,P061,,,4643,2024-09-10,2027-09-09
14,AZHAR BIN AHMAD,,male,bumiputera,BN - UMNO,TIADA,,,,Ahli Dewan Negara,20692,2022-03-21,2025-03-20
15,AZHAR BIN AHMAD,,male,bumiputera,UMNO,TIADA,,,,Ahli Dewan Negara,20692,2022-03-21,2025-03-20
14,AZIZ BIN ARIFFIN,,male,bumiputera,UMNO,Perlis,,,,Ahli Dewan Negara,20693,2021-08-26,2024-08-25
13,AZIZAH BINTI HAJI HARUN,,female,bumiputera,BN - UMNO,TIADA,,,,,20695,2015-07-06,2018-07-05
15,BAHARUDDIN BIN AHMAD,,male,bumiputera,PAS,Perlis,,,,Ahli Dewan Negara,20701,2024-09-10,2027-09-09
12,BAHARUDIN BIN HJ. ABU BAKAR,,male,bumiputera,BN - UMNO,TIADA,,,,,20702,2011-09-06,2014-09-05
14,BALASUBRAMANIAM A/L NACHIAPPAN,,male,indian,PAS,TIADA,,,,Ahli Dewan Negara,20705,2020-06-16,2023-06-15
13,BASHIR BIN HAJI ALIAS,,male,bumiputera,BN - UMNO,TIADA,,,,,20706,2017-06-05,2020-06-04
13,BATHMAVATHI KRISHNAN,,male,indian,Wakil OKU,TIADA,,,,,20707,2013-11-18,2016-11-17
14,BOBBEY AH FANG BIN SUAN,,male,bumiputera,BERSATU,Sabah,,,,Ahli Dewan Negara,20710,2021-01-05,2024-01-04
15,BOBBEY AH FANG BIN SUAN,,male,bumiputera,GRS,Sabah,,,,Ahli Dewan Negara,20710,2021-01-05,2024-01-04
12,BOON SOM A/L INONG,,male,indian,BN - UMNO,TIADA,,,,,20711,2010-12-15,2013-12-14
13,CHAI KIM SEN,,male,chinese,BN - MCA,TIADA,,,,,20719,2014-06-23,2017-06-22
12,CHANDRA MOHAN A/L S. TAMBIRAJAH,,male,indian,DAP,TIADA,,,,,20720,2012-12-17,2015-12-16
13,CHANDRA MOHAN A/L S. THAMBIRAJAH,,male,indian,DAP,Selangor,,,,,20720,2012-12-17,2015-12-16
15,CHE ALIAS BIN HAMID,,male,bumiputera,PAS,Terengganu,,,,,4059,2024-11-21,2027-11-20
15,CHE ALIAS BIN HAMID,1967.0,male,bumiputera,PAS,Terengganu,Kemaman,P040,,,4059,2024-11-21,2027-11-20
12,CHEW LEE GIOK,,female,chinese,BN - MCA,TIADA,,,,,20726,2010-12-13,2013-12-12
12,CHIEW LIAN KENG,,male,chinese,BN - MCA,TIADA,,,,,20728,2011-11-02,2014-11-01
12,CHIN SU PHIN,,male,chinese,BN - LDP,TIADA,,,,,20729,2011-05-30,2014-05-29
12,CHIW TIANG CHAI,,male,chinese,BN - PPP,TIADA,,,,,20730,2011-08-22,2014-08-21
12,DAYANG MADINAH BINTI TUN ABANG HAJI OPENG,,female,bumiputera,BN - PBB,Sarawak,,,,,20743,2010-07-19,2013-07-18
14,DOMINIC LAU HOE CHAI,,male,chinese,GERAKAN,TIADA,,,,Ahli Dewan Negara,20746,2021-11-23,2024-11-22
12,DORIS SOPHIA AK BRODI,,female,chinese,BN - PRS,TIADA,,,,Timbalan Yang di-Pertua Dewan Negara,5173,2010-03-12,2013-03-11
15,EDWARD LINGGU BUKUT,,male,bumiputera,STAR,Sabah,,,,,20751,2024-12-10,2027-12-09
13,ENGKU NAIMAH BINTI ENGKU TAIB,,female,bumiputera,BN - UMNO,Terengganu,,,,,20754,2015-11-06,2018-11-05
13,FAHARIYAH BINTI HJ. MD NORDIN,,female,bumiputera,BN - UMNO,TIADA,,,,Ahli Dewan Negara,20761,2016-12-07,2019-12-06
12,FIRDAUS BIN HAJI ABDULLAH,,male,bumiputera,BN - UMNO,TIADA,,,,,20764,2012-01-26,2015-01-25
15,FUZIAH BINTI SALLEH,,female,bumiputera,PKR,TIADA,,,Timbalan Menteri Perdagangan Dalam Negeri dan Kos Sara Hidup,Timbalan Menteri Perdagangan Dalam Negeri dan Kos Sara Hidup,20768,2022-12-10,2025-12-09
12,GAN PING SHOU @ GAN PING SIEU,,male,chinese,BN - MCA,TIADA,,,Timbalan Menteri Belia Dan Sukan,,20770,2010-06-02,2013-06-01
13,HANAFI BIN HAJI MAMAT,,male,bumiputera,BN - UMNO,TIADA,,,,Ahli Dewan Negara,20785,2016-12-07,2019-12-06
13,HOH KHAI MUN,,male,chinese,BN - MCA,Pahang,,,,,20798,2015-05-29,2018-05-28
14,HUSAIN BIN AWANG,,male,bumiputera,PAS,Terengganu,,,,Ahli Dewan Negara,20801,2018-07-17,2021-07-16
15,HUSSIN BIN ISMAIL,,male,,PAS,Terengganu,,,,Ahli Dewan Negara,20802,2023-03-15,2026-03-14
13,IBRAHIM SHAH BIN ABU SHAH,,male,bumiputera,BN - UMNO,TIADA,,,,,20806,2014-11-03,2017-11-02
12,IDRIS JALA,,male,bumiputera,TIADA,TIADA,,,Menteri di Jabatan Perdana Menteri,,20809,2012-09-03,2015-09-02
